# Data from Holland and Powell (1998), https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1525-1314.1998.00140.x
# Digital data obtained from Xiang and Connolly (2021), https://onlinelibrary.wiley.com/doi/full/10.1111/jmg.12626
name of phase component,,DfG,Hf,sd(Hf),S,V,a,b,c,d,e,f,g,a0,K,Tc,Smax,Vmax,v1,v2,k0,k0',v1,v2,v3,v4,d0,d1,d2,d3,d4,d5,d6,Tmin,Tmax,dv,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,Index,?End-member ,DfG,DfH,,
sapphirine(793) ,spr7,-10468810,-11065630,3730,448,19.775,1167.9,-0.02487,-7607300,-9155.3,,,,0.000049,1200000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,sapphirine(793) ,-10469450,-11067020,0,1390
annite ,ann,-4801284,-5151670,3300,418,15.432,815.7,-0.034861,19800,-7466.7,,,,0.0000579,513000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,annite ,-4796020,-5143440,0,-8230
celadonite ,cel,-5462920,-5842420,3040,290,13.957,741.2,-0.018748,-2368800,-6616.9,,,,0.0000596,700000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,celadonite ,-5464110,-5844480,0,2060
eastonite ,east,-5951586,-6338170,4700,318,14.738,785.5,-0.038031,-2130300,-6893.7,,,,0.0000579,513000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,eastonite ,-5958830,-6348940,0,10770
FeCceladonite ,fcel,-5111168,-5477430,3080,329,14.07,756.3,-0.019147,-1586100,-6928.7,,,,0.0000596,700000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,Fe�Cceladonite ,-5127780,-5497320,0,19890
margarite ,ma,-5857347,-6241230,1470,267,12.964,744.4,-0.0168,-2074400,-6783.2,,,,0.0000487,1300000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,margarite ,-5856990,-6241190,0,-40
MnCbiotite ,mnbi,-5112696,-5462840,4870,433,15.264,809.9,-0.059213,-1514400,-6998.7,,,,0.0000579,513000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,Mn�Cbiotite ,-5113370,-5463500,0,660
muscovite ,mu,-5603722,-5984180,3040,292,14.083,756.4,-0.01984,-2170000,-6979.2,,,,0.0000596,490000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,muscovite ,-5603710,-5984120,0,-60
NaCphlogopite ,naph,-5791778,-6172820,2240,318,14.45,773.5,-0.040229,-2597900,-6512.6,,,,0.0000579,513000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,Na�Cphlogopite ,-5791070,-6172140,0,-680
paragonite ,pa,-5565102,-5946340,1990,276,13.211,803,-0.03158,217000,-8151,,,,0.0000774,550000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,paragonite ,-5565090,-5946330,0,-10
